tvdb_id,series_name,num_seasons,poster,banner,fanart,status,first_aired,network,runtime,overview,rating,imdb_id,tvdb_avg_rating,tvdb_ratings,genre_anime,genre_documentary,genre_musical,genre_sport,genre_mini-series,genre_,genre_reality,genre_animation,genre_science,genre_western,genre_horror,genre_children,genre_romance,genre_news,genre_podcast,genre_crime,genre_fantasy,genre_suspense,genre_garden,genre_drama,genre_thriller,genre_game,genre_comedy,genre_history,genre_special,genre_interest,genre_adventure,genre_talk,genre_arts,genre_soap,genre_mystery,genre_family,genre_and,genre_action,genre_fiction,genre_martial,genre_war,genre_show,genre_travel,genre_home,genre_food
70329,My Wife and Kids,5,https://artworks.thetvdb.com/banners/posters/70329-2.jpg,https://artworks.thetvdb.com/banners/graphical/70329-g.jpg,https://artworks.thetvdb.com/banners/fanart/original/70329-2.jpg,Ended,2001-03-28,ABC (US),25,"Michael Kyle longs for a traditional life, but his day-trader wife Janet, gangsta rap-worshipping son Michael Jr., and brooding daughters Claire and Kady make his dream just that ... a dream.",,tt0273855,7.7,818,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280847,Detectorists,3,https://artworks.thetvdb.com/banners/posters/280847-7.jpg,https://artworks.thetvdb.com/banners/graphical/280847-g.jpg,https://artworks.thetvdb.com/banners/fanart/original/280847-10.jpg,Ended,2014-10-02,BBC Four,30,"Detectorists follows the relationship between two friends who share a passion for metal detecting.

When Andy and Lance are together, they're like an old married couple. They gripe at each other, but there is a true bond underneath. Each has their own slightly dysfunctional lives but together they dream of finding a priceless Saxon hoard that will cement their place in detecting history.

Helping them along the way is a delightfully quirky crowd of characters who are drawn to this all-absorbing hobby.",,tt4082744,8.4,447,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364477,The L Word: Generation Q,2,https://artworks.thetvdb.com/banners/series/364477/posters/62020562.jpg,https://artworks.thetvdb.com/banners/graphical/5dbbc5e07b11f.jpg,https://artworks.thetvdb.com/banners/fanart/original/5db21c8b18392.jpg,Continuing,2019-12-08,Showtime,55,"Ten years later, a group of diverse and self-possessed LGBTQIA professionals attempt to navigate life and love with some new friends in Los Angeles. ",TV-MA,tt7661384,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80763,Waterloo Road,10,https://artworks.thetvdb.com/banners/posters/80763-1.jpg,https://artworks.thetvdb.com/banners/graphical/80763-g2.jpg,https://artworks.thetvdb.com/banners/fanart/original/80763-2.jpg,Ended,2006-03-09,BBC Three,60,"Waterloo Road Comprehensive isn't doing very well. Many of the teachers feel that their job is pointless, and the pupils couldn't care less about their education. When the Headteacher of the school has a nervous breakdown, Jack Rimmer is promoted to the position, much to his dismay. He knows that if the school doesn't clean up its act soon, it could mean the end. So he decides to hire optimistic teacher Andrew Treneman, who gives up his private school teaching job, in order to improve the situation of Waterloo Road. Andrew is certain that with strict discipline and a house system, things will get better. Together with lively Guidance Head, Kim Campbell, the three teachers begin the process of turning around the failing school, painful step by painful step.",TV-14,tt0487189,8.2,251,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80245,The Shining,1,https://artworks.thetvdb.com/banners/posters/80245-3.jpg,https://artworks.thetvdb.com/banners/graphical/80245-g3.jpg,https://artworks.thetvdb.com/banners/fanart/original/80245-2.jpg,Ended,1997-04-27,ABC (US),91,"A television adaptation of the Stephen King novel that follows a recovering alcoholic professor. He ends up taking a job as a winter caretaker for a remote Colorado hotel which he seeks as an opportunity to finish a piece of work. With his wife and son with him, the caretaker settles in, only to see visions of the hotel's long deceased employees and guests. With evil intentions, they manipulate him into his dark side which takes a toll on him and his family. ",TV-MA,tt0118460,7.5,111,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311904,"Midnight, Texas",2,https://artworks.thetvdb.com/banners/posters/311904-3.jpg,https://artworks.thetvdb.com/banners/graphical/311904-g2.jpg,https://artworks.thetvdb.com/banners/fanart/original/311904-4.jpg,Ended,2017-07-24,NBC,45,"Welcome to a place where being normal is really quite strange. In a remote Texas town no one is who they seem. From vampires and witches to psychics and hit men, Midnight is a mysterious safe haven for those who are different. As the town members fight off outside pressures from rowdy biker gangs, ever-suspicious cops and their own dangerous pasts, they band together and form a strong and unlikely family.",TV-14,tt5464086,7.8,478,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267014,Please Like Me,4,https://artworks.thetvdb.com/banners/posters/267014-3.jpg,https://artworks.thetvdb.com/banners/graphical/267014-g.jpg,https://artworks.thetvdb.com/banners/fanart/original/267014-4.jpg,Ended,2013-02-28,ABC2,25,"After breaking up with his girlfriend, Josh comes to the realization that he is homosexual. With the support of his now ex girlfriend Claire, and his best friend and house mate Tom, Josh must help his mother with her battle with depression and the rest of his family embrace his new found orientation.",TV-MA,tt2155025,9.1,389,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168941,The Glades,4,https://artworks.thetvdb.com/banners/posters/168941-1.jpg,https://artworks.thetvdb.com/banners/graphical/168941-g5.jpg,https://artworks.thetvdb.com/banners/fanart/original/168941-7.jpg,Ended,2010-07-11,A&E,45,"This Crime series follows Matt Passmore as Jim, a Chicago cop who gets kicked off the force after being shot and wrongfully accused by his ex-captain of having an affair with his wife. After receiving his payout, Jim decides to moves to a small Florida town to join the state police.",TV-14,tt1552112,8.6,1367,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338946,Patrick Melrose,1,https://artworks.thetvdb.com/banners/posters/338946-2.jpg,https://artworks.thetvdb.com/banners/graphical/5af95c0539a34.jpg,https://artworks.thetvdb.com/banners/fanart/original/338946-1.jpg,Ended,2018-05-12,Showtime,56,"Based on the acclaimed Patrick Melrose series of semi-autobiographical novels written by Edward St. Aubyn, Melrose hilariously skewers the upper class as it tracks the protagonist’s harrowing odyssey from a deeply traumatic childhood through adult substance abuse, and ultimately, towards recovery.
Benedict Cumberbatch will play Melrose, an aristocratic and outrageously funny playboy, who struggles to overcome the damage inflicted by an abusive father and a mother who tacitly condoned the behaviour",TV-MA,tt6586318,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317220,Goblin,1,https://artworks.thetvdb.com/banners/posters/317220-21.jpg,https://artworks.thetvdb.com/banners/graphical/317220-g6.jpg,https://artworks.thetvdb.com/banners/fanart/original/317220-2.jpg,Ended,2016-12-02,tvN,90,"In his quest for a bride to break his immortal curse, a 939-year-old guardian of souls meets a grim reaper and a sprightly student with a tragic past.",,tt5994364,9.9,232,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251889,Fresh Meat,4,https://artworks.thetvdb.com/banners/posters/251889-2.jpg,https://artworks.thetvdb.com/banners/graphical/251889-g2.jpg,https://artworks.thetvdb.com/banners/fanart/original/251889-1.jpg,Ended,2011-09-21,Channel 4,50,"A comedy drama series about the hilarious and painful truths of being a student. The latest creation from Sam Bain and Jesse Armstrong, Fresh Meat follows a group of six students about to embark on the most exciting period of their lives so far - university.",TV-MA,tt2058303,8.3,454,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79843,The Thick of It,4,https://artworks.thetvdb.com/banners/posters/79843-2.jpg,https://artworks.thetvdb.com/banners/graphical/79843-g4.jpg,https://artworks.thetvdb.com/banners/fanart/original/79843-4.jpg,Ended,2005-05-19,BBC Two,30,"The Thick of It is a British comedy television series that satirises the inner workings of modern British government. It was first broadcast in 2005, initially with a small cast focussing on a government minister, his advisers and their spin-doctor. The cast was significantly expanded to coincide with Christmas and Gordon Brown's appointment as prime minister in 2007, which saw a number of new characters forming the opposition party. These characters continued for its third series in 2009, and the fourth and final series about a coalition government was broadcast in Autumn 2012.",TV-MA,tt0459159,9.3,831,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359477,The Hot Zone,1,https://artworks.thetvdb.com/banners/posters/5cc12cffc4986.jpg,https://artworks.thetvdb.com/banners/graphical/5cefbab7850c8.jpg,https://artworks.thetvdb.com/banners/fanart/original/5cb58eff342f9.jpg,Ended,2019-05-27,National Geographic,50,"Working with a secret military specialized team, U.S. Army scientist Dr. Nancy Jaax puts her life on the line to head off an Ebola outbreak before it spreads to the human population.",TV-14,tt4131818,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344141,The Little Drummer Girl,1,https://artworks.thetvdb.com/banners/posters/5bbed1c746b2c.jpg,https://artworks.thetvdb.com/banners/graphical/5c717c56daf33.jpg,https://artworks.thetvdb.com/banners/fanart/original/5d30e79ee7d7e.jpg,Ended,2018-10-28,BBC One,60,"Charlie, a brilliant young actress, strikes up an acquaintance with an intriguing stranger while on holiday in Greece, but it rapidly becomes apparent that his intentions are far from romantic. The man is an Israeli intelligence officer who intends to kill a Palestinian terrorist who is bombing Jewish-related targets in Europe, particularly Germany, and he entangles Charlie in a complex and high-stakes plot orchestrated by an Israeli spymaster.",TV-MA,tt7598448,6.0,29,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382252,JU-ON: Origins,1,https://artworks.thetvdb.com/banners/series/382252/posters/5f22cfe8934e9.jpg,https://artworks.thetvdb.com/banners/series/382252/banners/5efeeb9c88f3e.jpg,https://artworks.thetvdb.com/banners/series/382252/backgrounds/5ef6654bd7e8d.jpg,Continuing,2020-07-03,Netflix,29,A paranormal researcher searches obsessively for a cursed home where something terrible happened to a mother and her child long ago.,,tt12313914,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82672,Legend of the Seeker,2,https://artworks.thetvdb.com/banners/posters/82672-6.jpg,https://artworks.thetvdb.com/banners/graphical/82672-g4.jpg,https://artworks.thetvdb.com/banners/fanart/original/82672-2.jpg,Ended,2008-10-17,ABC (US),45,"Millions of readers over the world have been held spellbound by this valiant tale vividly told. Now, enter Terry Goodkind's world, the world of The Sword of Truth. In the aftermath of the brutal murder of his father, a mysterious woman, Kahlan Amnell, appears in Richard Cypher's forest sanctuary seeking help... and more. His world, his very beliefs, are shattered when ancient debts come due with thundering violence. In their darkest hour, hunted relentlessly, tormented by treachery and loss, Kahlan calls upon Richard to reach beyond his sword-to invoke within himself something more noble. Neither knows that the rules of battle have just changed... or that their time has run out. This is the beginning. One story. One Rule. Witness the birth of a legend.",TV-14,tt0844653,8.4,3394,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
