tweet_id,user_id,episode_id,created_at,updated_at,fb_action_id
,4524940,7308226,2020-02-08 16:15:04 +0000 UTC,2020-02-08 16:15:04 +0000 UTC,
,4524940,7314583,2019-08-18 19:06:39 +0000 UTC,2019-08-18 19:06:39 +0000 UTC,
,4524940,7314586,2019-08-19 06:36:07 +0000 UTC,2019-08-19 06:36:07 +0000 UTC,
,4524940,7314587,2019-08-21 20:01:01 +0000 UTC,2019-08-21 20:01:01 +0000 UTC,
,4524940,7314589,2019-08-23 12:24:12 +0000 UTC,2019-08-23 12:24:12 +0000 UTC,
,4524940,7314590,2019-08-24 21:29:01 +0000 UTC,2019-08-24 21:29:01 +0000 UTC,
,4524940,7314592,2019-08-27 06:54:36 +0000 UTC,2019-08-27 06:54:36 +0000 UTC,
,4524940,7314594,2019-08-27 13:16:46 +0000 UTC,2019-08-27 13:16:46 +0000 UTC,
,4524940,7314720,2019-09-13 22:23:29 +0000 UTC,2019-09-13 22:23:29 +0000 UTC,
,4524940,7314722,2019-09-14 13:19:15 +0000 UTC,2019-09-14 13:19:15 +0000 UTC,
,4524940,7314723,2019-09-14 19:49:33 +0000 UTC,2019-09-14 19:49:33 +0000 UTC,
,4524940,7314724,2019-09-17 07:30:32 +0000 UTC,2019-09-17 07:30:32 +0000 UTC,
,4524940,7314725,2019-09-25 21:24:13 +0000 UTC,2019-09-25 21:24:13 +0000 UTC,
,4524940,7319124,2019-11-28 21:44:44 +0000 UTC,2019-11-28 21:44:44 +0000 UTC,
,4524940,7321510,2019-09-30 11:50:29 +0000 UTC,2019-09-30 11:50:29 +0000 UTC,
,4524940,7323041,2019-08-27 21:29:05 +0000 UTC,2019-08-27 21:29:05 +0000 UTC,
,4524940,7325062,2019-10-29 19:17:35 +0000 UTC,2019-10-29 19:17:35 +0000 UTC,
,4524940,7337251,2019-10-07 21:57:19 +0000 UTC,2019-10-07 21:57:19 +0000 UTC,
,4524940,7337985,2020-02-15 12:42:44 +0000 UTC,2020-02-15 12:42:44 +0000 UTC,
,4524940,7337987,2020-02-26 07:24:32 +0000 UTC,2020-02-26 07:24:32 +0000 UTC,
,4524940,7337988,2020-03-01 18:58:05 +0000 UTC,2020-03-01 18:58:05 +0000 UTC,
,4524940,7339712,2019-10-26 20:33:43 +0000 UTC,2019-10-26 20:33:43 +0000 UTC,
,4524940,7339714,2019-10-26 21:23:51 +0000 UTC,2019-10-26 21:23:51 +0000 UTC,
,4524940,7339715,2019-11-01 09:39:08 +0000 UTC,2019-11-01 09:39:08 +0000 UTC,
,4524940,7349126,2019-10-04 18:47:52 +0000 UTC,2019-10-04 18:47:52 +0000 UTC,
,4524940,7349127,2019-10-13 19:27:43 +0000 UTC,2019-10-13 19:27:43 +0000 UTC,
,4524940,7353567,2019-10-13 10:03:15 +0000 UTC,2019-10-13 10:03:15 +0000 UTC,
,4524940,7356270,2020-03-07 19:22:45 +0000 UTC,2020-03-07 19:22:45 +0000 UTC,
,4524940,7363379,2019-10-07 18:42:08 +0000 UTC,2019-10-07 18:42:08 +0000 UTC,
,4524940,7364930,2019-10-18 17:52:37 +0000 UTC,2019-10-18 17:52:37 +0000 UTC,
,4524940,7364933,2019-10-24 10:32:43 +0000 UTC,2019-10-24 10:32:43 +0000 UTC,
,4524940,7364935,2019-10-31 12:48:47 +0000 UTC,2019-10-31 12:48:47 +0000 UTC,
,4524940,7376317,2019-10-28 21:13:21 +0000 UTC,2019-10-28 21:13:21 +0000 UTC,
,4524940,7376318,2019-10-28 21:14:22 +0000 UTC,2019-10-28 21:14:22 +0000 UTC,
,4524940,7376319,2019-10-29 11:52:02 +0000 UTC,2019-10-29 11:52:02 +0000 UTC,
,4524940,7376320,2019-10-29 20:37:24 +0000 UTC,2019-10-29 20:37:24 +0000 UTC,
,4524940,7376321,2019-10-29 21:16:46 +0000 UTC,2019-10-29 21:16:46 +0000 UTC,
,4524940,7376322,2019-10-30 18:28:27 +0000 UTC,2019-10-30 18:28:27 +0000 UTC,
,4524940,7376323,2019-10-30 22:41:20 +0000 UTC,2019-10-30 22:41:20 +0000 UTC,
,4524940,7376324,2019-10-31 13:04:03 +0000 UTC,2019-10-31 13:04:03 +0000 UTC,
,4524940,7376325,2020-02-02 09:09:42 +0000 UTC,2020-02-02 09:09:42 +0000 UTC,
,4524940,7376326,2020-02-02 09:10:51 +0000 UTC,2020-02-02 09:10:51 +0000 UTC,
,4524940,7376327,2020-02-02 12:19:48 +0000 UTC,2020-02-02 12:19:48 +0000 UTC,
,4524940,7376328,2020-02-02 12:35:22 +0000 UTC,2020-02-02 12:35:22 +0000 UTC,
,4524940,7376942,2020-02-02 20:20:43 +0000 UTC,2020-02-02 20:20:43 +0000 UTC,
,4524940,7376944,2020-02-02 20:22:03 +0000 UTC,2020-02-02 20:22:03 +0000 UTC,
,4524940,7376945,2020-02-02 21:59:04 +0000 UTC,2020-02-02 21:59:04 +0000 UTC,
,4524940,7376947,2020-02-02 22:00:30 +0000 UTC,2020-02-02 22:00:30 +0000 UTC,
,4524940,7379120,2019-11-08 14:25:49 +0000 UTC,2019-11-08 14:25:49 +0000 UTC,
,4524940,7379121,2019-11-14 19:57:16 +0000 UTC,2019-11-14 19:57:16 +0000 UTC,
,4524940,7379122,2019-11-21 19:24:58 +0000 UTC,2019-11-21 19:24:58 +0000 UTC,
,4524940,7379124,2019-11-21 19:27:07 +0000 UTC,2019-11-21 19:27:07 +0000 UTC,
,4524940,7380771,2019-10-12 10:14:01 +0000 UTC,2019-10-12 10:14:01 +0000 UTC,
,4524940,7380772,2019-10-13 10:03:39 +0000 UTC,2019-10-13 10:03:39 +0000 UTC,
,4524940,7380773,2019-10-13 19:28:12 +0000 UTC,2019-10-13 19:28:12 +0000 UTC,
,4524940,7380774,2019-10-15 12:31:41 +0000 UTC,2019-10-15 12:31:41 +0000 UTC,
,4524940,7380775,2019-10-16 14:26:14 +0000 UTC,2019-10-16 14:26:14 +0000 UTC,
,4524940,7380776,2019-10-17 11:33:01 +0000 UTC,2019-10-17 11:33:01 +0000 UTC,
,4524940,7380777,2019-10-18 18:58:11 +0000 UTC,2019-10-18 18:58:11 +0000 UTC,
,4524940,7381120,2019-10-18 17:53:14 +0000 UTC,2019-10-18 17:53:14 +0000 UTC,
,4524940,7382866,2019-11-21 00:11:09 +0000 UTC,2019-11-21 00:11:09 +0000 UTC,
,4524940,7382867,2019-11-27 13:20:07 +0000 UTC,2019-11-27 13:20:07 +0000 UTC,
,4524940,7387289,2019-12-03 16:27:52 +0000 UTC,2019-12-03 16:27:52 +0000 UTC,
,4524940,7388319,2019-10-16 21:46:28 +0000 UTC,2019-10-16 21:46:28 +0000 UTC,
,4524940,7388320,2019-10-21 22:26:23 +0000 UTC,2019-10-21 22:26:23 +0000 UTC,
,4524940,7391602,2019-12-12 22:19:16 +0000 UTC,2019-12-12 22:19:16 +0000 UTC,
,4524940,7391606,2019-12-19 11:56:12 +0000 UTC,2019-12-19 11:56:12 +0000 UTC,
,4524940,7391609,2019-12-23 19:29:46 +0000 UTC,2019-12-23 19:29:46 +0000 UTC,
,4524940,7391614,2019-12-30 11:22:53 +0000 UTC,2019-12-30 11:22:53 +0000 UTC,
,4524940,7391617,2020-01-06 08:57:32 +0000 UTC,2020-01-06 08:57:32 +0000 UTC,
,4524940,7391620,2020-01-13 18:00:28 +0000 UTC,2020-01-13 18:00:28 +0000 UTC,
,4524940,7391623,2020-01-21 08:16:04 +0000 UTC,2020-01-21 08:16:04 +0000 UTC,
,4524940,7391631,2020-01-27 07:50:11 +0000 UTC,2020-01-27 07:50:11 +0000 UTC,
,4524940,7392964,2019-11-18 15:11:23 +0000 UTC,2019-11-18 15:11:23 +0000 UTC,
,4524940,7392965,2019-11-25 19:09:26 +0000 UTC,2019-11-25 19:09:26 +0000 UTC,
,4524940,7392966,2019-12-09 22:31:11 +0000 UTC,2019-12-09 22:31:11 +0000 UTC,
,4524940,7392967,2019-12-16 22:38:21 +0000 UTC,2019-12-16 22:38:21 +0000 UTC,
,4524940,7393627,2019-12-05 20:02:57 +0000 UTC,2019-12-05 20:02:57 +0000 UTC,
,4524940,7394424,2019-10-26 12:56:06 +0000 UTC,2019-10-26 12:56:06 +0000 UTC,
,4524940,7395843,2019-12-11 12:20:47 +0000 UTC,2019-12-11 12:20:47 +0000 UTC,
,4524940,7400288,2019-11-03 22:29:57 +0000 UTC,2019-11-03 22:29:57 +0000 UTC,
,4524940,7400300,2020-01-30 22:28:05 +0000 UTC,2020-01-30 22:28:05 +0000 UTC,
,4524940,7400302,2020-01-30 22:28:06 +0000 UTC,2020-01-30 22:28:06 +0000 UTC,
,4524940,7400305,2020-01-31 15:00:38 +0000 UTC,2020-01-31 15:00:38 +0000 UTC,
